rebalance_date,ticker,forward_return_20d,forward_return_60d,label_known_after_rebalance,label_role
20240930,000001,-0.06142506142506142,-0.02129402129402142,true,OUTCOME_LABEL_ONLY
20241031,000001,-0.003514938488576531,-0.003514938488576531,true,OUTCOME_LABEL_ONLY
20241129,000001,0.039543057996485,0.011423550087873375,true,OUTCOME_LABEL_ONLY
20241231,000001,-0.02905982905982905,-0.030769230769230722,true,OUTCOME_LABEL_ONLY
20250127,000001,0.003487358326067929,-0.04882301656495209,true,OUTCOME_LABEL_ONLY
20250228,000001,-0.015611448395490002,-0.0060711188204682145,true,OUTCOME_LABEL_ONLY
20250331,000001,-0.024866785079928896,0.07193605683836594,true,OUTCOME_LABEL_ONLY
20250430,000001,0.08249312557286896,0.13107241063244726,true,OUTCOME_LABEL_ONLY
20250530,000001,0.04411764705882351,0.07698961937716252,true,OUTCOME_LABEL_ONLY
20250630,000001,0.03231151615575813,-0.05716652858326425,true,OUTCOME_LABEL_ONLY
20250731,000001,-0.012264922322158655,-0.07440719542109568,true,OUTCOME_LABEL_ONLY
20250829,000001,-0.05394190871369297,-0.02987551867219927,true,OUTCOME_LABEL_ONLY
20250930,000001,0.015873015873015848,0.006172839506172864,true,OUTCOME_LABEL_ONLY
20251031,000001,0.025618374558303812,-0.03356890459363964,true,OUTCOME_LABEL_ONLY
20251128,000001,-0.006029285099052565,-0.07751937984496113,true,OUTCOME_LABEL_ONLY
20251231,000001,-0.05083260297984225,-0.033304119193689814,true,OUTCOME_LABEL_ONLY
20260130,000001,-0.006463527239150534,0.043397968605724896,true,OUTCOME_LABEL_ONLY
20260227,000001,0.011009174311926533,-0.02201834862385323,true,OUTCOME_LABEL_ONLY
20260331,000001,0.039711191335740026,,true,OUTCOME_LABEL_ONLY
20260430,000001,-0.035683202785030475,,true,OUTCOME_LABEL_ONLY
20240930,000002,-0.06687242798353912,-0.24279835390946503,true,OUTCOME_LABEL_ONLY
20241031,000002,-0.08620689655172403,-0.20366379310344826,true,OUTCOME_LABEL_ONLY
20241129,000002,-0.12209302325581393,-0.11162790697674418,true,OUTCOME_LABEL_ONLY
20241231,000002,-0.03305785123966945,-0.016528925619834725,true,OUTCOME_LABEL_ONLY
20250127,000002,0.050894085281980764,-0.06327372764786796,true,OUTCOME_LABEL_ONLY
20250228,000002,-0.08129032258064514,-0.13548387096774192,true,OUTCOME_LABEL_ONLY
20250331,000002,-0.03404255319148939,-0.08936170212765956,true,OUTCOME_LABEL_ONLY
20250430,000002,-0.0337738619676945,0.0,true,OUTCOME_LABEL_ONLY
20250530,000002,-0.03313253012048189,0.07831325301204826,true,OUTCOME_LABEL_ONLY
20250630,000002,0.0576323987538941,0.09034267912772587,true,OUTCOME_LABEL_ONLY
20250731,000002,0.05124223602484459,-0.026397515527950437,true,OUTCOME_LABEL_ONLY
20250829,000002,0.0014727540500736062,-0.23416789396170837,true,OUTCOME_LABEL_ONLY
20250930,000002,-0.09724238026124818,-0.32510885341074014,true,OUTCOME_LABEL_ONLY
20251031,000002,-0.14194577352472085,-0.24242424242424238,true,OUTCOME_LABEL_ONLY
20251128,000002,-0.11338289962825285,-0.14126394052044605,true,OUTCOME_LABEL_ONLY
20251231,000002,0.049462365591397744,-0.18064516129032263,true,OUTCOME_LABEL_ONLY
20260130,000002,-0.04713114754098351,-0.180327868852459,true,OUTCOME_LABEL_ONLY
20260227,000002,-0.16115702479338848,-0.3161157024793388,true,OUTCOME_LABEL_ONLY
20260331,000002,-0.030075187969924838,,true,OUTCOME_LABEL_ONLY
20260430,000002,-0.1329923273657289,,true,OUTCOME_LABEL_ONLY
20240930,000004,0.14355828220858893,-0.15644171779141108,true,OUTCOME_LABEL_ONLY
20241031,000004,-0.1755760368663594,-0.5147465437788018,true,OUTCOME_LABEL_ONLY
20241129,000004,-0.2022038567493112,-0.3234159779614325,true,OUTCOME_LABEL_ONLY
20241231,000004,-0.14161849710982652,-0.2904624277456647,true,OUTCOME_LABEL_ONLY
20250127,000004,0.17963496637848214,-0.2728146013448607,true,OUTCOME_LABEL_ONLY
20250228,000004,-0.17218543046357615,-0.140728476821192,true,OUTCOME_LABEL_ONLY
20250331,000004,-0.18172484599589328,-0.07494866529774132,true,OUTCOME_LABEL_ONLY
20250430,000004,0.28732747804266,0.10414052697616073,true,OUTCOME_LABEL_ONLY
20250530,000004,-0.14739884393063593,-0.013487475915221633,true,OUTCOME_LABEL_ONLY
20250630,000004,-0.0022598870056496695,0.19322033898305094,true,OUTCOME_LABEL_ONLY
20250731,000004,0.3462414578587701,0.3986332574031891,true,OUTCOME_LABEL_ONLY
20250829,000004,-0.07338638373121133,0.09283819628647205,true,OUTCOME_LABEL_ONLY
20250930,000004,0.1987410071942447,-0.003597122302158197,true,OUTCOME_LABEL_ONLY
20251031,000004,-0.04153094462540715,-0.001628664495113972,true,OUTCOME_LABEL_ONLY
20251128,000004,-0.07476635514018684,-0.4970263381478335,true,OUTCOME_LABEL_ONLY
20251231,000004,0.13898916967509017,-0.6651624548736462,true,OUTCOME_LABEL_ONLY
20260130,000004,-0.598256735340729,,true,OUTCOME_LABEL_ONLY
20260227,000004,-0.2695652173913044,,true,OUTCOME_LABEL_ONLY
20240930,000006,0.5384615384615384,0.338103756708408,true,OUTCOME_LABEL_ONLY
20241031,000006,-0.10071210579857581,-0.28280773143438453,true,OUTCOME_LABEL_ONLY
20241129,000006,-0.09786276715410584,-0.26434195725534315,true,OUTCOME_LABEL_ONLY
20241231,000006,-0.06693989071038255,-0.0478142076502733,true,OUTCOME_LABEL_ONLY
20250127,000006,-0.033973412112259904,-0.062038404726735594,true,OUTCOME_LABEL_ONLY
20250228,000006,0.21630094043887146,0.09561128526645774,true,OUTCOME_LABEL_ONLY
20250331,000006,-0.14128943758573392,-0.11522633744855965,true,OUTCOME_LABEL_ONLY
20250430,000006,0.061417322834645766,-0.0015748031496062658,true,OUTCOME_LABEL_ONLY
20250530,000006,-0.0692640692640692,0.057720057720057776,true,OUTCOME_LABEL_ONLY
20250630,000006,-0.007751937984496096,0.227906976744186,true,OUTCOME_LABEL_ONLY
20250731,000006,0.1801948051948051,1.0584415584415583,true,OUTCOME_LABEL_ONLY
20250829,000006,0.2956403269754768,0.4209809264305177,true,OUTCOME_LABEL_ONLY
20250930,000006,0.17589893100097187,-0.03304178814382895,true,OUTCOME_LABEL_ONLY
20251031,000006,-0.13170347003154573,-0.29337539432176646,true,OUTCOME_LABEL_ONLY
20251128,000006,-0.0744777475022707,-0.2225249772933696,true,OUTCOME_LABEL_ONLY
