rebalance_date,ticker,factor_value,factor_id,factor_name,source
20210701,000001,0.549,F05,F05,research_simulation
20210701,000002,0.05,F05,F05,research_simulation
20210701,000004,0.848,F05,F05,research_simulation
20210701,000006,0.537,F05,F05,research_simulation
20210701,000007,0.446,F05,F05,research_simulation
20210701,000008,0.447,F05,F05,research_simulation
20210701,000009,0.801,F05,F05,research_simulation
20210701,000010,0.293,F05,F05,research_simulation
20210701,000011,0.207,F05,F05,research_simulation
20210701,000012,0.403,F05,F05,research_simulation
20210701,000014,0.065,F05,F05,research_simulation
20210701,000016,0.417,F05,F05,research_simulation
20210701,000017,0.49,F05,F05,research_simulation
20210701,000019,0.5,F05,F05,research_simulation
20210701,000020,0.346,F05,F05,research_simulation
20210701,000021,0.329,F05,F05,research_simulation
20210701,000025,0.49,F05,F05,research_simulation
20210701,000026,0.918,F05,F05,research_simulation
20210701,000027,0.174,F05,F05,research_simulation
20210701,000028,0.39,F05,F05,research_simulation
20210701,000029,0.446,F05,F05,research_simulation
20210701,000030,0.245,F05,F05,research_simulation
20210701,000031,0.142,F05,F05,research_simulation
20210701,000032,0.559,F05,F05,research_simulation
20210701,000034,0.509,F05,F05,research_simulation
20210701,000035,0.822,F05,F05,research_simulation
20210701,000036,0.046,F05,F05,research_simulation
20210701,000037,0.856,F05,F05,research_simulation
20210701,000039,0.664,F05,F05,research_simulation
20210701,000042,0.11,F05,F05,research_simulation
20210701,000045,0.847,F05,F05,research_simulation
20210701,000048,0.423,F05,F05,research_simulation
20210701,000049,0.091,F05,F05,research_simulation
20210701,000050,0.781,F05,F05,research_simulation
20210701,000055,0.729,F05,F05,research_simulation
20210701,000056,0.316,F05,F05,research_simulation
20210701,000058,0.987,F05,F05,research_simulation
20210701,000059,0.852,F05,F05,research_simulation
20210701,000060,0.111,F05,F05,research_simulation
20210701,000061,0.712,F05,F05,research_simulation
20210701,000062,0.798,F05,F05,research_simulation
20210701,000063,0.25,F05,F05,research_simulation
20210701,000065,0.628,F05,F05,research_simulation
20210701,000066,0.965,F05,F05,research_simulation
20210701,000068,0.788,F05,F05,research_simulation
20210701,000069,0.167,F05,F05,research_simulation
20210701,000070,0.831,F05,F05,research_simulation
20210701,000078,0.304,F05,F05,research_simulation
20210701,000088,0.351,F05,F05,research_simulation
20210701,000089,0.415,F05,F05,research_simulation
20210701,000090,0.936,F05,F05,research_simulation
20210701,000096,0.653,F05,F05,research_simulation
20210701,000099,0.425,F05,F05,research_simulation
20210701,000100,0.959,F05,F05,research_simulation
20210701,000151,0.406,F05,F05,research_simulation
20210701,000153,0.0,F05,F05,research_simulation
20210701,000155,0.197,F05,F05,research_simulation
20210701,000156,0.102,F05,F05,research_simulation
20210701,000157,0.308,F05,F05,research_simulation
20210701,000158,0.801,F05,F05,research_simulation
20210701,000159,0.6,F05,F05,research_simulation
