rebalance_date,ticker,factor_value,factor_id,factor_name,source
20260301,000001,0.797,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000002,0.947,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000004,0.862,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000006,0.84,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000007,0.776,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000008,0.122,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000009,0.238,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000010,0.758,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000011,0.947,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000012,0.687,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000014,0.643,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000016,0.957,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000017,0.072,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000019,0.368,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000020,0.321,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000021,0.739,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000025,0.832,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000026,0.381,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000027,0.411,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000028,0.408,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000029,0.366,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000030,0.53,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000031,0.385,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000032,0.745,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000034,0.002,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000035,0.398,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000036,0.3,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000037,0.561,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000039,0.692,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000042,0.789,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000045,0.559,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
20260301,000048,0.597,F13,SHAREHOLDER_YIELD_LIGHT,research_simulation
