factor_id,ticker,rebalance_date,score,rank,bucket,signal_role
F04,001309,20251009,0.976328,1,1,FACTOR_SIGNAL_ONLY
F04,300475,20251009,0.92875,2,1,FACTOR_SIGNAL_ONLY
F04,688411,20251009,0.816451,3,1,FACTOR_SIGNAL_ONLY
F04,603786,20251009,0.718652,4,1,FACTOR_SIGNAL_ONLY
F04,600699,20251009,0.670927,5,1,FACTOR_SIGNAL_ONLY
F04,301308,20251009,0.638536,6,1,FACTOR_SIGNAL_ONLY
F04,300857,20251009,0.63095,7,1,FACTOR_SIGNAL_ONLY
F04,300115,20251009,0.627098,8,1,FACTOR_SIGNAL_ONLY
F04,002475,20251009,0.624248,9,1,FACTOR_SIGNAL_ONLY
F04,300604,20251009,0.622642,10,1,FACTOR_SIGNAL_ONLY
F04,300450,20251009,0.544586,11,1,FACTOR_SIGNAL_ONLY
F04,002402,20251009,0.543125,12,1,FACTOR_SIGNAL_ONLY
F04,002709,20251009,0.528414,13,1,FACTOR_SIGNAL_ONLY
F04,688778,20251009,0.51794,14,1,FACTOR_SIGNAL_ONLY
F04,000981,20251009,0.498039,15,1,FACTOR_SIGNAL_ONLY
F04,000559,20251009,0.465699,16,1,FACTOR_SIGNAL_ONLY
F04,603179,20251009,0.440179,17,1,FACTOR_SIGNAL_ONLY
F04,002050,20251009,0.4256,18,1,FACTOR_SIGNAL_ONLY
F04,688525,20251009,0.380127,19,1,FACTOR_SIGNAL_ONLY
F04,002460,20251009,0.371971,20,1,FACTOR_SIGNAL_ONLY
F04,688012,20251009,0.370283,21,1,FACTOR_SIGNAL_ONLY
F04,002472,20251009,0.368632,22,1,FACTOR_SIGNAL_ONLY
F04,002812,20251009,0.362359,23,1,FACTOR_SIGNAL_ONLY
F04,688521,20251009,0.354053,24,1,FACTOR_SIGNAL_ONLY
F04,002850,20251009,0.352471,25,1,FACTOR_SIGNAL_ONLY
F04,688072,20251009,0.352225,26,1,FACTOR_SIGNAL_ONLY
F04,603019,20251009,0.350684,27,1,FACTOR_SIGNAL_ONLY
F04,600895,20251009,0.350532,28,1,FACTOR_SIGNAL_ONLY
F04,601872,20251009,0.343328,29,1,FACTOR_SIGNAL_ONLY
F04,300274,20251009,0.342037,30,1,FACTOR_SIGNAL_ONLY
F04,600580,20251009,0.340129,31,1,FACTOR_SIGNAL_ONLY
F04,688981,20251009,0.337363,32,1,FACTOR_SIGNAL_ONLY
F04,688041,20251009,0.332906,33,1,FACTOR_SIGNAL_ONLY
F04,603444,20251009,0.331619,34,1,FACTOR_SIGNAL_ONLY
F04,300207,20251009,0.331325,35,1,FACTOR_SIGNAL_ONLY
F04,600143,20251009,0.293971,36,1,FACTOR_SIGNAL_ONLY
F04,601598,20251009,0.287234,37,1,FACTOR_SIGNAL_ONLY
F04,688120,20251009,0.286521,38,1,FACTOR_SIGNAL_ONLY
F04,601717,20251009,0.285515,39,1,FACTOR_SIGNAL_ONLY
F04,300316,20251009,0.285237,40,1,FACTOR_SIGNAL_ONLY
F04,603228,20251009,0.276588,41,1,FACTOR_SIGNAL_ONLY
F04,002517,20251009,0.267075,42,1,FACTOR_SIGNAL_ONLY
F04,601138,20251009,0.265302,43,1,FACTOR_SIGNAL_ONLY
F04,002602,20251009,0.261761,44,1,FACTOR_SIGNAL_ONLY
F04,688234,20251009,0.261037,45,1,FACTOR_SIGNAL_ONLY
F04,688082,20251009,0.255641,46,1,FACTOR_SIGNAL_ONLY
F04,002558,20251009,0.24466,47,1,FACTOR_SIGNAL_ONLY
F04,300413,20251009,0.244444,48,1,FACTOR_SIGNAL_ONLY
F04,002008,20251009,0.243504,49,1,FACTOR_SIGNAL_ONLY
F04,000021,20251009,0.235788,50,1,FACTOR_SIGNAL_ONLY
F04,002371,20251009,0.233645,51,1,FACTOR_SIGNAL_ONLY
F04,000988,20251009,0.233333,52,1,FACTOR_SIGNAL_ONLY
F04,300750,20251009,0.229547,53,1,FACTOR_SIGNAL_ONLY
F04,300757,20251009,0.221518,54,1,FACTOR_SIGNAL_ONLY
F04,300919,20251009,0.21904,55,1,FACTOR_SIGNAL_ONLY
F04,301200,20251009,0.217929,56,1,FACTOR_SIGNAL_ONLY
F04,688047,20251009,0.213901,57,1,FACTOR_SIGNAL_ONLY
F04,601869,20251009,0.211289,58,1,FACTOR_SIGNAL_ONLY
F04,000426,20251009,0.210801,59,1,FACTOR_SIGNAL_ONLY
F04,688008,20251009,0.207752,60,1,FACTOR_SIGNAL_ONLY
F04,688027,20251009,0.205522,61,1,FACTOR_SIGNAL_ONLY
F04,300408,20251009,0.204087,62,1,FACTOR_SIGNAL_ONLY
F04,688702,20251009,0.202423,63,1,FACTOR_SIGNAL_ONLY
F04,688361,20251009,0.201999,64,1,FACTOR_SIGNAL_ONLY
F04,688629,20251009,0.196862,65,1,FACTOR_SIGNAL_ONLY
F04,300014,20251009,0.192626,66,1,FACTOR_SIGNAL_ONLY
F04,300124,20251009,0.18147,67,1,FACTOR_SIGNAL_ONLY
F04,301358,20251009,0.18137,68,1,FACTOR_SIGNAL_ONLY
F04,002202,20251009,0.180458,69,1,FACTOR_SIGNAL_ONLY
F04,600601,20251009,0.178728,70,1,FACTOR_SIGNAL_ONLY
F04,600995,20251009,0.176415,71,1,FACTOR_SIGNAL_ONLY
F04,600026,20251009,0.17304,72,1,FACTOR_SIGNAL_ONLY
F04,601689,20251009,0.172,73,1,FACTOR_SIGNAL_ONLY
F04,002920,20251009,0.171066,74,1,FACTOR_SIGNAL_ONLY
F04,603799,20251009,0.168842,75,1,FACTOR_SIGNAL_ONLY
F04,603986,20251009,0.167806,76,1,FACTOR_SIGNAL_ONLY
F04,002064,20251009,0.166448,77,1,FACTOR_SIGNAL_ONLY
F04,600562,20251009,0.165049,78,1,FACTOR_SIGNAL_ONLY
F04,688002,20251009,0.164259,79,1,FACTOR_SIGNAL_ONLY
F04,601699,20251009,0.159624,80,1,FACTOR_SIGNAL_ONLY
F04,002384,20251009,0.157952,81,1,FACTOR_SIGNAL_ONLY
F04,300223,20251009,0.157761,82,1,FACTOR_SIGNAL_ONLY
F04,688126,20251009,0.157241,83,1,FACTOR_SIGNAL_ONLY
F04,600522,20251009,0.153846,84,1,FACTOR_SIGNAL_ONLY
F04,300803,20251009,0.152106,85,1,FACTOR_SIGNAL_ONLY
F04,688472,20251009,0.150047,86,1,FACTOR_SIGNAL_ONLY
F04,603659,20251009,0.147609,87,1,FACTOR_SIGNAL_ONLY
F04,002555,20251009,0.143366,88,1,FACTOR_SIGNAL_ONLY
F04,300661,20251009,0.142464,89,1,FACTOR_SIGNAL_ONLY
F04,688036,20251009,0.141569,90,1,FACTOR_SIGNAL_ONLY
F04,002353,20251009,0.141314,91,1,FACTOR_SIGNAL_ONLY
F04,300476,20251009,0.137287,92,1,FACTOR_SIGNAL_ONLY
F04,002916,20251009,0.1344,93,1,FACTOR_SIGNAL_ONLY
F04,688331,20251009,0.134054,94,1,FACTOR_SIGNAL_ONLY
F04,601777,20251009,0.133506,95,2,FACTOR_SIGNAL_ONLY
F04,002938,20251009,0.132168,96,2,FACTOR_SIGNAL_ONLY
F04,603296,20251009,0.131614,97,2,FACTOR_SIGNAL_ONLY
F04,600489,20251009,0.128784,98,2,FACTOR_SIGNAL_ONLY
F04,002463,20251009,0.128372,99,2,FACTOR_SIGNAL_ONLY
F04,600760,20251009,0.123686,100,2,FACTOR_SIGNAL_ONLY
F04,002600,20251009,0.122845,101,2,FACTOR_SIGNAL_ONLY
F04,600089,20251009,0.122661,102,2,FACTOR_SIGNAL_ONLY
F04,688099,20251009,0.122146,103,2,FACTOR_SIGNAL_ONLY
F04,688220,20251009,0.11789,104,2,FACTOR_SIGNAL_ONLY
F04,300433,20251009,0.116996,105,2,FACTOR_SIGNAL_ONLY
F04,605117,20251009,0.109798,106,2,FACTOR_SIGNAL_ONLY
F04,688777,20251009,0.10701,107,2,FACTOR_SIGNAL_ONLY
F04,603606,20251009,0.106379,108,2,FACTOR_SIGNAL_ONLY
F04,002294,20251009,0.104916,109,2,FACTOR_SIGNAL_ONLY
F04,600183,20251009,0.104138,110,2,FACTOR_SIGNAL_ONLY
F04,000977,20251009,0.103768,111,2,FACTOR_SIGNAL_ONLY
F04,601136,20251009,0.103718,112,2,FACTOR_SIGNAL_ONLY
F04,002028,20251009,0.103422,113,2,FACTOR_SIGNAL_ONLY
F04,688375,20251009,0.101646,114,2,FACTOR_SIGNAL_ONLY
F04,688349,20251009,0.100214,115,2,FACTOR_SIGNAL_ONLY
F04,688249,20251009,0.097519,116,2,FACTOR_SIGNAL_ONLY
F04,688347,20251009,0.096161,117,2,FACTOR_SIGNAL_ONLY
F04,600703,20251009,0.095238,118,2,FACTOR_SIGNAL_ONLY
F04,603049,20251009,0.094898,119,2,FACTOR_SIGNAL_ONLY
F04,002236,20251009,0.094754,120,2,FACTOR_SIGNAL_ONLY
F04,601231,20251009,0.09392,121,2,FACTOR_SIGNAL_ONLY
F04,603501,20251009,0.092647,122,2,FACTOR_SIGNAL_ONLY
F04,600176,20251009,0.090296,123,2,FACTOR_SIGNAL_ONLY
F04,688187,20251009,0.089393,124,2,FACTOR_SIGNAL_ONLY
F04,000157,20251009,0.085948,125,2,FACTOR_SIGNAL_ONLY
F04,300251,20251009,0.085544,126,2,FACTOR_SIGNAL_ONLY
F04,300498,20251009,0.085192,127,2,FACTOR_SIGNAL_ONLY
F04,688396,20251009,0.085004,128,2,FACTOR_SIGNAL_ONLY
F04,603893,20251009,0.084475,129,2,FACTOR_SIGNAL_ONLY
F04,600547,20251009,0.084196,130,2,FACTOR_SIGNAL_ONLY
F04,603806,20251009,0.082934,131,2,FACTOR_SIGNAL_ONLY
F04,600487,20251009,0.081818,132,2,FACTOR_SIGNAL_ONLY
F04,601727,20251009,0.081707,133,2,FACTOR_SIGNAL_ONLY
F04,688385,20251009,0.081626,134,2,FACTOR_SIGNAL_ONLY
F04,688538,20251009,0.081481,135,2,FACTOR_SIGNAL_ONLY
F04,603486,20251009,0.079108,136,2,FACTOR_SIGNAL_ONLY
F04,002049,20251009,0.078312,137,2,FACTOR_SIGNAL_ONLY
F04,002080,20251009,0.078253,138,2,FACTOR_SIGNAL_ONLY
F04,002456,20251009,0.07734,139,2,FACTOR_SIGNAL_ONLY
F04,002230,20251009,0.077299,140,2,FACTOR_SIGNAL_ONLY
F04,000983,20251009,0.07578,141,2,FACTOR_SIGNAL_ONLY
F04,300759,20251009,0.075643,142,2,FACTOR_SIGNAL_ONLY
F04,002128,20251009,0.075355,143,2,FACTOR_SIGNAL_ONLY
F04,600515,20251009,0.074468,144,2,FACTOR_SIGNAL_ONLY
F04,600584,20251009,0.074316,145,2,FACTOR_SIGNAL_ONLY
F04,300418,20251009,0.074284,146,2,FACTOR_SIGNAL_ONLY
F04,601880,20251009,0.072289,147,2,FACTOR_SIGNAL_ONLY
F04,600233,20251009,0.072036,148,2,FACTOR_SIGNAL_ONLY
F04,002074,20251009,0.071598,149,2,FACTOR_SIGNAL_ONLY
