ticker,trade_date,adjust_factor,factor_type,source_name,source_type,source_file,source_hash,as_of_date
600519,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
300750,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
688981,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
601899,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
300124,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
002594,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
300274,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
002371,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
600030,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
600276,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
002050,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
300763,20240102,1.0,EXPLICITLY_NOT_REQUIRED,tushare,LOCAL_USER_PROVIDED,data/research_db/market_data/processed/core12_adjustment_factor.csv,84aaa48ee713ac3235c3a7c1174dac5665cb6c1c765430488ded11968e32f332,2026-05-31
